0.00	3.64	3.76	3.69	4.19	5.79	4.63	5.88	5.65	4.67	3.49	3.93	3.39	1.39	3.96	3.45
4.76	0.00	2.07	2.81	2.49	5.31	4.06	4.74	3.95	2.97	3.14	4.84	2.97	4.23	2.18	2.58
3.84	2.98	0.00	2.15	1.77	3.37	2.21	4.10	3.31	2.34	1.07	2.87	1.24	3.32	0.72	2.79
3.87	1.88	1.27	0.00	1.58	3.72	2.89	2.51	2.48	2.18	2.34	4.05	2.18	3.35	1.39	1.69
4.97	2.27	2.38	1.63	0.00	3.89	3.06	2.68	2.66	2.08	3.41	5.15	3.28	4.45	2.49	2.21
4.66	4.04	3.43	2.75	2.38	0.00	2.30	2.99	2.72	2.62	1.80	3.27	1.47	4.14	2.68	3.85
4.51	3.97	3.36	2.68	2.30	2.73	0.00	3.66	2.93	1.88	1.73	3.31	1.50	3.98	2.60	3.78
5.46	3.47	2.87	2.18	1.89	2.72	2.70	0.00	1.62	2.69	3.94	5.64	3.77	4.94	2.98	3.28
5.83	3.83	3.23	2.54	2.25	2.85	3.06	0.79	0.00	3.05	4.29	5.79	3.98	5.30	3.34	3.64
4.15	2.51	1.90	1.22	0.84	3.75	2.49	3.17	2.39	0.00	1.51	3.31	1.68	3.62	1.03	2.32
4.16	3.62	3.02	2.33	1.96	2.30	1.14	3.23	2.63	1.59	0.00	3.20	1.40	3.64	2.26	3.44
4.55	3.88	3.28	2.60	2.22	3.79	2.79	4.55	3.77	2.78	1.65	0.00	1.38	4.02	2.52	3.70
3.19	3.14	2.53	1.85	1.48	2.87	2.04	3.72	3.02	2.04	0.90	1.87	0.00	2.67	1.78	2.95
1.22	3.01	3.13	3.06	3.56	5.16	4.00	5.25	5.02	4.04	2.86	4.36	2.76	0.00	3.33	2.82
3.12	2.26	1.39	2.19	1.82	4.64	3.38	4.07	3.28	2.30	2.46	4.24	2.37	2.59	0.00	2.07
4.11	2.11	1.51	0.23	1.50	3.64	2.81	2.42	2.40	2.18	2.58	4.28	2.41	3.58	1.62	0.00
