0	-62.25275205	-38.72147515	0
96	-62.258598	-38.713365	1.59
95	-62.259526	-38.714135	1.17
89	-62.257016	-38.71055	1.41
80	-62.260556	-38.712017	1.31
8	-62.26902	-38.706359	1.29
75	-62.266625	-38.716816	1.55
74	-62.265139	-38.715644	1.03
72	-62.267628	-38.71603	1.41
70	-62.261934	-38.711455	1.65
67	-62.265163	-38.712158	1.59
64	-62.269594	-38.712175	1.39
6	-62.268788	-38.707095	1.31
50	-62.27348	-38.712814	1.21
49	-62.27466	-38.711905	1.18
43	-62.270723	-38.712291	1.52
37	-62.268465	-38.712142	1.65
35	-62.270482	-38.710502	1.36
18	-62.264734	-38.70522	1.36
155	-62.259521	-38.711727	1.23
151	-62.258944	-38.715156	1.44
146	-62.256555	-38.718216	1.08
141	-62.256605	-38.720017	1.43
138	-62.259955	-38.717346	1.23
134	-62.257818	-38.720977	1.23
12	-62.269968	-38.7093	1.32
11	-62.267245	-38.702126	1.22
106	-62.255731	-38.714926	1.04
105	-62.25693	-38.715876	1.21
104	-62.259851	-38.71808	1.32
102	-62.257434	-38.715282	1.25
