0.00	3.77	3.49	3.39	3.29	5.51	3.88	3.65	4.79	3.86	4.62	5.39	6.43	5.79	5.60	5.33	5.47	6.05	5.09	2.91	2.91	2.04	1.41	2.28	2.49	5.43	6.10	1.88	2.92	3.21	3.09
4.42	0.00	1.87	1.16	1.06	3.28	2.04	1.81	3.58	1.64	2.40	3.62	4.29	4.94	4.75	3.57	3.69	4.09	2.86	0.68	2.07	3.04	3.92	3.69	3.93	3.59	3.87	3.11	2.58	3.52	2.44
4.70	0.28	0.00	1.44	1.34	3.56	2.33	2.09	3.87	1.92	2.68	3.90	4.57	5.21	5.03	3.85	3.98	4.38	3.14	0.96	2.35	3.32	4.20	3.98	4.21	3.87	4.15	3.39	2.86	3.80	2.72
4.69	2.57	2.29	0.00	1.48	3.70	2.46	2.23	4.00	2.05	2.81	4.03	4.71	5.35	5.16	3.99	4.11	4.51	3.45	2.69	2.48	3.31	4.19	3.96	4.31	4.00	4.46	3.38	2.85	3.90	2.70
3.62	1.09	0.81	1.70	0.00	2.23	0.98	0.75	2.52	0.57	1.34	2.56	3.23	3.88	3.69	2.51	2.63	3.03	2.17	1.29	1.01	2.23	3.11	2.85	2.87	2.53	3.00	2.21	1.68	2.46	1.53
5.97	3.43	3.15	4.04	3.10	0.00	3.38	3.15	4.38	2.64	2.76	2.81	1.25	3.22	3.28	3.22	2.89	2.27	2.84	3.63	3.34	4.59	5.47	5.25	5.27	1.78	2.91	4.55	4.01	4.86	3.87
3.96	2.65	2.37	3.59	3.32	4.50	0.00	2.57	1.54	2.85	3.61	3.72	4.46	2.89	2.70	2.92	3.68	4.01	4.45	3.18	2.57	3.10	3.46	2.49	2.25	3.98	5.27	3.54	3.01	2.10	3.09
4.19	2.89	2.61	3.70	2.59	3.85	0.24	0.00	1.77	2.13	2.92	2.97	4.09	3.12	2.94	1.76	2.93	3.64	3.80	3.29	2.80	3.33	3.69	2.73	2.48	3.12	4.62	3.78	3.24	2.33	3.33
4.95	2.83	2.55	3.44	2.34	3.59	1.38	1.15	0.00	1.87	2.70	2.81	3.86	2.99	3.64	1.62	2.80	3.47	3.54	3.03	2.75	3.57	4.45	3.14	3.15	2.86	4.36	3.95	3.42	2.74	3.27
4.08	1.56	1.28	2.17	0.47	2.69	1.45	1.22	2.99	0.00	1.80	3.02	3.70	4.34	4.15	2.98	3.10	3.50	2.20	1.76	1.47	2.70	3.58	3.32	3.34	2.99	3.21	2.68	2.15	2.92	2.00
5.30	2.98	2.70	3.60	2.66	3.03	1.69	1.45	2.08	2.19	0.00	1.60	2.64	3.18	3.76	1.87	1.68	2.25	2.98	3.19	2.90	3.96	4.80	3.44	3.46	1.64	3.81	4.11	3.57	3.05	3.43
5.35	4.04	3.76	4.81	3.88	3.13	2.87	2.88	1.73	3.41	2.99	0.00	2.74	1.77	2.74	0.41	1.58	2.29	3.46	4.41	3.96	4.49	4.84	3.88	3.64	1.87	4.37	4.93	4.40	3.48	4.48
5.17	2.62	2.34	3.23	2.30	0.39	2.58	2.34	4.05	1.83	1.98	2.50	0.00	3.28	3.67	2.91	2.58	2.35	2.04	2.82	2.54	3.78	4.66	4.44	4.46	1.84	2.00	3.74	3.21	4.05	3.06
4.78	3.47	3.19	4.41	3.50	3.34	2.30	2.31	1.17	3.03	2.75	1.69	2.94	0.00	2.29	1.70	1.66	2.49	3.54	4.00	3.39	3.92	4.28	3.32	3.07	1.95	4.45	4.36	3.83	2.92	3.92
4.97	3.66	3.38	4.60	3.69	3.52	2.49	2.50	1.36	3.22	2.94	1.88	3.13	0.19	0.00	1.89	1.84	2.68	3.73	4.19	3.58	4.11	4.46	3.51	3.26	2.13	4.64	4.55	4.02	3.11	4.11
6.14	3.80	3.52	4.41	3.47	2.72	2.79	2.55	2.53	3.01	2.58	1.21	2.33	1.36	2.42	0.00	1.17	1.88	3.05	4.00	3.71	4.96	5.64	4.54	4.44	1.46	3.96	4.92	4.38	4.14	4.24
5.23	2.98	2.69	3.59	2.65	3.03	1.62	1.38	2.12	2.19	1.56	1.71	2.75	3.28	3.80	1.91	0.00	2.37	2.98	3.18	2.89	3.94	4.72	3.37	3.39	1.75	3.80	4.10	3.56	2.97	3.42
5.90	3.40	3.12	4.01	3.08	2.46	2.29	2.06	2.44	2.61	2.18	0.71	2.06	2.48	3.44	1.12	0.67	0.00	2.66	3.60	3.31	4.56	5.39	4.04	4.06	1.06	3.56	4.52	3.99	3.65	3.84
5.98	3.44	3.16	4.05	2.94	2.35	3.39	3.16	4.87	2.64	2.79	3.32	2.75	4.09	4.70	3.72	3.40	3.16	0.00	3.64	3.35	4.60	5.48	5.25	5.28	2.66	1.01	4.56	4.02	4.86	3.88
3.99	1.47	1.19	2.08	0.38	2.60	1.36	1.13	2.91	0.96	1.72	2.94	3.61	4.25	4.07	2.89	3.02	3.42	2.18	0.00	1.39	2.61	3.49	3.23	3.25	2.91	3.19	2.59	2.06	2.84	1.91
2.63	2.08	1.80	2.32	2.23	3.93	2.20	1.96	3.74	2.28	3.04	3.70	4.74	5.09	4.90	3.72	3.78	4.36	3.88	1.84	0.00	1.25	2.13	1.90	2.25	3.74	4.71	1.20	0.67	1.84	0.53
1.38	3.24	2.97	3.02	2.92	5.09	3.36	3.12	4.26	3.44	4.21	4.86	5.90	5.26	5.07	4.80	4.94	5.52	4.72	2.54	2.54	0.00	0.88	1.75	1.96	4.90	5.73	1.52	2.39	2.68	2.72
1.74	2.37	2.09	3.25	3.03	4.21	2.48	2.24	4.02	2.56	3.33	3.98	5.02	5.16	4.97	4.00	4.06	4.64	4.17	2.77	2.28	1.60	0.00	0.88	1.36	4.03	4.99	1.75	1.51	2.04	2.81
3.46	1.49	1.21	2.43	2.16	3.34	1.60	1.37	3.14	1.69	2.45	3.10	4.15	4.49	4.30	3.13	3.18	3.76	3.29	2.02	1.41	2.08	2.95	0.00	1.79	3.15	4.11	2.61	2.08	1.38	1.93
2.10	3.65	3.37	4.42	4.32	5.50	2.59	3.53	3.49	3.85	4.61	5.24	6.06	4.49	4.31	4.03	5.21	5.62	5.45	3.94	3.57	2.89	1.66	2.16	0.00	5.31	6.28	2.92	2.80	1.92	4.10
6.17	3.62	3.34	4.23	3.29	1.39	3.58	3.34	4.25	2.83	2.63	2.68	1.00	3.08	3.08	3.09	2.76	2.12	3.03	3.82	3.53	4.78	5.66	5.44	5.46	0.00	2.99	4.74	4.21	5.05	4.06
6.92	4.37	4.09	4.99	4.05	3.29	4.33	4.09	5.81	3.58	3.73	4.25	3.52	4.84	4.66	4.66	4.33	4.10	3.79	4.58	4.29	5.54	6.42	6.19	6.21	3.59	0.00	5.49	4.96	5.80	4.81
3.64	2.94	2.66	1.95	1.85	4.07	2.83	2.60	4.37	2.42	3.19	4.41	5.08	5.72	5.54	4.36	4.48	4.88	3.65	1.47	1.47	2.26	3.13	2.91	3.26	4.38	4.66	0.00	1.79	2.84	1.65
3.73	3.03	2.75	2.04	1.94	4.16	2.92	2.69	4.46	2.51	3.27	4.50	5.17	5.81	5.62	4.45	4.57	4.97	3.74	1.56	1.56	2.34	3.22	3.00	3.34	4.47	4.75	0.53	0.00	2.93	1.74
2.38	1.89	1.61	2.83	2.55	3.74	2.00	1.77	3.54	2.09	2.85	3.50	4.54	4.89	4.70	3.53	3.58	4.16	3.69	2.42	1.80	1.00	1.88	0.40	2.01	3.55	4.51	1.45	0.91	0.00	2.33
3.49	2.79	2.51	1.80	1.70	3.92	2.68	2.45	4.22	2.27	3.03	4.25	4.93	5.57	5.39	4.21	4.33	4.73	3.50	1.32	1.32	2.10	2.98	2.76	3.10	4.23	4.51	2.18	1.64	2.69	0.00
