0.00	3.68	3.88	3.65	3.86	5.39	6.22	5.23	6.05	5.58	3.18	2.49	3.16	5.68	2.48	2.92
4.31	0.00	0.59	0.36	1.40	2.22	3.14	2.92	2.84	3.19	1.36	2.47	1.88	2.47	2.53	2.95
3.96	2.85	0.00	2.57	2.85	3.72	3.33	2.33	3.36	4.56	2.12	2.25	2.05	2.86	2.36	3.01
4.19	2.11	0.24	0.00	2.13	2.97	2.79	2.57	2.48	3.91	2.30	2.48	2.28	2.11	2.60	3.24
4.08	0.86	1.45	1.22	0.00	3.02	4.00	3.78	3.70	2.76	2.22	3.34	2.74	3.33	3.40	2.15
5.35	3.57	2.87	2.88	3.41	0.00	1.43	1.95	1.13	3.02	3.51	3.64	3.44	0.76	3.75	4.40
5.12	3.36	2.64	2.65	3.37	2.03	0.00	0.52	1.67	3.44	3.28	3.41	3.21	1.17	3.52	4.17
4.60	2.84	2.12	2.13	2.86	2.72	2.55	0.00	2.25	4.05	2.76	2.89	2.69	1.88	3.00	3.65
6.78	3.60	3.45	3.22	3.44	1.87	1.83	2.35	0.00	1.89	4.11	5.22	4.63	2.62	5.28	4.82
5.12	2.02	2.61	2.38	1.90	1.40	2.77	3.29	2.53	0.00	3.38	4.50	3.91	2.16	4.56	3.27
4.43	1.38	0.71	0.48	1.39	2.21	3.26	3.04	2.96	3.18	0.00	2.59	2.00	2.59	2.66	2.94
2.10	3.85	2.59	3.53	3.85	5.24	4.93	3.94	4.75	5.56	3.06	0.00	1.87	4.38	1.19	2.80
2.43	3.37	2.06	3.05	3.37	4.70	4.52	3.94	4.22	5.09	2.58	0.59	0.00	3.85	0.65	2.29
5.99	2.81	2.44	2.20	2.66	0.86	2.29	2.81	1.98	2.40	3.10	4.21	3.62	0.00	4.27	4.03
3.11	2.81	1.40	2.49	2.82	4.05	3.87	3.74	3.57	4.53	2.02	1.27	0.68	3.19	0.00	1.64
3.73	2.33	2.92	2.69	2.51	4.50	5.47	5.26	5.17	4.23	2.58	3.34	2.76	4.80	3.31	0.00
