0	-62.25275205	-38.72147515	0
92	-62.267786	-38.71969	1.39
86	-62.259998	-38.712812	1.17
71	-62.2663	-38.714904	1.25
7	-62.26655	-38.708526	1.49
63	-62.2685	-38.711287	1.33
61	-62.272036	-38.712521	0.96
51	-62.272352	-38.713645	1.21
50	-62.27348	-38.712814	1.21
48	-62.273858	-38.711223	1.15
45	-62.268531	-38.714002	1.25
41	-62.272938	-38.710552	1.24
36	-62.269495	-38.711305	1.28
32	-62.271519	-38.708063	1.34
29	-62.265843	-38.710666	1.27
26	-62.270103	-38.705501	1.33
25	-62.262045	-38.712343	1.3
21	-62.267431	-38.705455	1.24
2	-62.274694	-38.707493	1.3
160	-62.25609	-38.715783	1.57
156	-62.258754	-38.712695	1.51
147	-62.255433	-38.719097	1.47
146	-62.256555	-38.718216	1.08
143	-62.260029	-38.715512	1.08
137	-62.261219	-38.716454	1.17
136	-62.263252	-38.714769	1.51
125	-62.265686	-38.716418	1.07
113	-62.256548	-38.722583	1.54
112	-62.25906	-38.724591	1.52
104	-62.259851	-38.71808	1.32
102	-62.257434	-38.715282	1.25
