0	-62.25275205	-38.72147515	0
95	-62.259526	-38.714135	1.17
94	-62.262226	-38.716259	1.44
93	-62.26704	-38.720432	1.6
89	-62.257016	-38.71055	1.41
84	-62.263395	-38.715399	1.52
81	-62.258293	-38.710182	1.63
76	-62.26871	-38.718741	1.58
69	-62.268725	-38.715147	1.3
68	-62.266247	-38.713054	1.25
67	-62.265163	-38.712158	1.59
6	-62.268788	-38.707095	1.31
59	-62.273639	-38.712049	1.1
57	-62.274776	-38.711128	1.07
56	-62.273993	-38.710475	1.22
55	-62.272834	-38.709655	1.32
53	-62.267961	-38.716995	0.93
52	-62.271263	-38.714454	1.36
49	-62.27466	-38.711905	1.18
48	-62.273858	-38.711223	1.15
47	-62.266275	-38.715773	1.48
44	-62.269636	-38.71309	1.43
43	-62.270723	-38.712291	1.52
40	-62.265171	-38.714754	1.56
38	-62.267306	-38.71303	1.39
37	-62.268465	-38.712142	1.65
35	-62.270482	-38.710502	1.36
31	-62.262925	-38.713119	1.16
29	-62.265843	-38.710666	1.27
22	-62.265736	-38.707267	0.91
158	-62.257692	-38.714018	1.12
156	-62.258754	-38.712695	1.51
155	-62.259521	-38.711727	1.23
154	-62.259263	-38.713172	1.43
149	-62.260578	-38.714123	1.12
146	-62.256555	-38.718216	1.08
144	-62.258876	-38.716407	1.44
139	-62.258837	-38.718226	1.08
138	-62.259955	-38.717346	1.23
136	-62.263252	-38.714769	1.51
130	-62.263339	-38.716408	1.6
127	-62.256653	-38.723516	1.09
122	-62.266006	-38.718718	1.11
112	-62.25906	-38.724591	1.52
109	-62.261154	-38.724674	1.27
108	-62.25654	-38.719025	1.38
105	-62.25693	-38.715876	1.21
102	-62.257434	-38.715282	1.25
101	-62.255364	-38.712434	1.23
10	-62.265795	-38.703759	0.8
1	-62.275748	-38.70821	1.29
