0	-62.25275205	-38.72147515	0
99	-62.258014	-38.714675	1.46
97	-62.256318	-38.71173	1.6
94	-62.262226	-38.716259	1.44
89	-62.257016	-38.71055	1.41
87	-62.259398	-38.712402	1.62
84	-62.263395	-38.715399	1.52
80	-62.260556	-38.712017	1.31
77	-62.267863	-38.717967	1.62
72	-62.267628	-38.71603	1.41
7	-62.26655	-38.708526	1.49
67	-62.265163	-38.712158	1.59
65	-62.266236	-38.711296	1.22
64	-62.269594	-38.712175	1.39
6	-62.268788	-38.707095	1.31
55	-62.272834	-38.709655	1.32
52	-62.271263	-38.714454	1.36
51	-62.272352	-38.713645	1.21
46	-62.267364	-38.71494	1.55
43	-62.270723	-38.712291	1.52
39	-62.266244	-38.713884	1.23
30	-62.265114	-38.711319	1.58
29	-62.265843	-38.710666	1.27
28	-62.267088	-38.709545	1.33
22	-62.265736	-38.707267	0.91
2	-62.274694	-38.707493	1.3
16	-62.26301	-38.707448	1.34
159	-62.256662	-38.715261	1.25
158	-62.257692	-38.714018	1.12
155	-62.259521	-38.711727	1.23
151	-62.258944	-38.715156	1.44
150	-62.259483	-38.714667	1.42
15	-62.262204	-38.708368	1.34
148	-62.26065	-38.714207	1.21
144	-62.258876	-38.716407	1.44
143	-62.260029	-38.715512	1.08
137	-62.261219	-38.716454	1.17
130	-62.263339	-38.716408	1.6
129	-62.264349	-38.715636	1.18
125	-62.265686	-38.716418	1.07
124	-62.258229	-38.724709	1.54
122	-62.266006	-38.718718	1.11
120	-62.26555	-38.721952	1.51
119	-62.267815	-38.720178	1.5
115	-62.257584	-38.726072	1.51
114	-62.255368	-38.721568	1.26
111	-62.25568	-38.720235	1.19
108	-62.25654	-38.719025	1.38
107	-62.257669	-38.719898	1.53
105	-62.25693	-38.715876	1.21
103	-62.260975	-38.71886	1.2
